,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_EcalPNBkg_SR.root,hpass,EcalPNBkg_SR,EcalPNBkg_SR,,,,,,
3,Signal_M10MeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M10MeV_SR.root,hpass,Signal_M10MeV_SR,DM Signal,,1.05,,lnN,,
4,Signal_M10MeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M10MeV_SR.root,hpass,Signal_M10MeV_SR,DM Signal,,,,,,
9,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_EcalPNBkg_SR.root,hfail,EcalPNBkg_SR,EcalPNBkg_SR,,,,,,
12,Signal_M10MeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M10MeV_SR.root,hfail,Signal_M10MeV_SR,DM Signal,,1.05,,lnN,,
13,Signal_M10MeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M10MeV_SR.root,hfail,Signal_M10MeV_SR,DM Signal,,,,,,
