,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_EcalPNBkg_SR.root,hpass,EcalPNBkg_SR,EcalPNBkg_SR,,,,,,
1,Signal_M1MeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M1MeV_SR.root,hpass,Signal_M1MeV_SR,DM Signal,,1.05,,lnN,,
2,Signal_M1MeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M1MeV_SR.root,hpass,Signal_M1MeV_SR,DM Signal,,,,,,
9,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_EcalPNBkg_SR.root,hfail,EcalPNBkg_SR,EcalPNBkg_SR,,,,,,
10,Signal_M1MeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M1MeV_SR.root,hfail,Signal_M1MeV_SR,DM Signal,,1.05,,lnN,,
11,Signal_M1MeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v3/NoHcalLDMX_Signal_M1MeV_SR.root,hfail,Signal_M1MeV_SR,DM Signal,,,,,,
